Year,Primary Job Title,Base Pay
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Associate Professor,50000.0
2018,Associate Professor,50000.0
2019,Associate Professor,50000.0
2020,Associate Professor,48750.0
2016,Assistant Professor,100000.0
2017,Assistant Professor,100000.0
2018,Assistant Professor,100000.0
2019,Assistant Professor,100000.0
2020,Assistant Professor,95000.0
2015,Associate Professor,154140.0
2016,Associate Professor,159779.65
2019,Associate Professor,175819.0
2020,Associate Professor,171332.0
2019,Professor,260100.0
2020,Professor,247095.0
2020,Assistant Professor,35000.0
2018,Assistant Professor,35000.0
2019,Assistant Professor,35000.0
2020,Assistant Professor,35000.0
2015,Assistant Professor,71393.0
2016,Assistant Professor,74956.0
2017,Associate Professor,82452.0
2018,Associate Professor,86566.0
2019,Associate Professor,113393.0
2020,Associate Professor,107723.0
2019,Assistant Professor,48000.0
2020,Assistant Professor,47090.0
2019,Assistant Professor,82000.0
2020,Assistant Professor,82000.0
2015,Assistant Professor,85874.0
2016,Assistant Professor,88069.9
2017,Assistant Professor,88070.0
2018,Assistant Professor,91877.0
2019,Assistant Professor,94623.0
2020,Assistant Professor,94623.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2016,Assistant Professor,87385.98
2017,Assistant Professor,87386.0
2018,Assistant Professor,93208.0
2019,Assistant Professor,104929.0
2020,Associate Professor,104929.0
2015,Assistant Professor,84515.0
2015,Associate Professor,78513.0
2016,Associate Professor,81117.83
2017,Associate Professor,81118.0
2018,Associate Professor,85044.0
2019,Associate Professor,87239.0
2020,Associate Professor,87239.0
2015,Assistant Professor,35000.0
2016,Assistant Professor,35000.0
2017,Assistant Professor,35000.0
2018,Assistant Professor,35000.0
2019,Assistant Professor,35000.0
2020,Assistant Professor,35000.0
2015,Associate Professor,79546.0
2016,Associate Professor,82164.74
2017,Associate Professor,82165.0
2018,Associate Professor,86744.0
2019,Associate Professor,89270.0
2020,Associate Professor,89270.0
2020,Assistant Professor,36450.0
2015,Associate Professor,85317.0
2016,Associate Professor,89121.21
2017,Associate Professor,89121.0
2018,Professor,104935.0
2019,Professor,108236.0
2020,Professor,108236.0
2016,Assistant Professor,72000.0
2017,Assistant Professor,72000.0
2018,Assistant Professor,76580.0
2019,Assistant Professor,79020.0
2020,Assistant Professor,79020.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2019,Assistant Professor,27000.0
2020,Assistant Professor,27000.0
2020,Assistant Professor,30000.0
2017,Assistant Professor,35000.0
2018,Assistant Professor,35000.0
2019,Assistant Professor,29750.0
2020,Assistant Professor,29750.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Assistant Professor,76567.0
2016,Associate Professor,86621.67
2017,Associate Professor,86622.0
2018,Associate Professor,91491.0
2019,Associate Professor,94241.0
2020,Associate Professor,94241.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,46800.0
2015,Associate Professor,87367.0
2016,Associate Professor,91055.42
2017,Professor,100161.0
2018,Professor,106436.0
2019,Professor,109437.0
2020,Professor,109437.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,15000.0
2018,Assistant Professor,18000.0
2019,Assistant Professor,18000.0
2020,Associate Professor,15000.0
2015,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Professor,140219.0
2016,Professor,145827.97
2017,Professor,145828.0
2019,Professor,159918.0
2020,Professor,155585.0
2017,Assistant Professor,75000.0
2018,Assistant Professor,76125.0
2019,Assistant Professor,82969.0
2020,Assistant Professor,79187.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2020,Associate Professor,24000.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Professor,30000.0
2018,Professor,30000.0
2019,Professor,30000.0
2020,Professor,30000.0
2016,Professor,140220.04
2017,Professor,140220.0
2018,Professor,147532.0
2019,Professor,113550.0
2020,Professor,151400.0
2015,Professor,150075.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Assistant Professor,27000.0
2015,Professor,103191.0
2016,Professor,107290.25
2017,Professor,107290.0
2018,Professor,113023.0
2019,Professor,116142.0
2020,Professor,116142.0
2016,Professor,200811.0
2017,Professor,210831.0
2018,Professor,220319.0
2019,Professor,231313.0
2020,Professor,219747.0
2015,Professor,196874.0
2018,Assistant Professor,73000.0
2019,Assistant Professor,74639.0
2020,Assistant Professor,74639.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2016,Assistant Professor,96000.0
2017,Assistant Professor,96000.0
2018,Assistant Professor,102075.0
2019,Assistant Professor,105427.0
2020,Assistant Professor,105427.0
2015,Assistant Professor,70000.0
2016,Assistant Professor,70000.0
2017,Assistant Professor,70000.0
2018,Assistant Professor,70000.0
2019,Assistant Professor,70000.0
2020,Associate Professor,67550.0
2015,Professor,95835.0
2016,Professor,99715.87
2017,Professor,99716.0
2018,Professor,104922.0
2019,Professor,107806.0
2020,Professor,107806.0
2015,Associate Professor,83264.0
2016,Associate Professor,87378.05
2017,Associate Professor,87378.0
2018,Associate Professor,92775.0
2019,Professor,105830.0
2020,Professor,105830.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,31624.0
2019,Assistant Professor,31624.0
2020,Associate Professor,31624.0
2015,Associate Professor,71897.0
2016,Associate Professor,74886.71
2017,Associate Professor,74887.0
2018,Associate Professor,79273.0
2019,Associate Professor,85006.0
2020,Associate Professor,85006.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,30000.0
2019,Associate Professor,30000.0
2020,Associate Professor,30000.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,30000.0
2019,Associate Professor,30000.0
2020,Associate Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,95466.0
2016,Associate Professor,97758.16
2017,Associate Professor,97758.0
2018,Associate Professor,101229.0
2019,Associate Professor,80166.0
2020,Associate Professor,103707.0
2015,Associate Professor,130360.0
2016,Professor,143395.9
2017,Professor,148356.0
2018,Professor,151126.0
2019,Professor,165422.0
2020,Professor,159221.0
2015,Assistant Professor,38000.0
2016,Assistant Professor,34000.0
2017,Assistant Professor,34000.0
2018,Assistant Professor,34000.0
2019,Assistant Professor,34000.0
2020,Assistant Professor,34000.0
2015,Professor,88572.0
2016,Professor,91286.28
2017,Professor,91286.0
2018,Professor,96479.0
2019,Professor,74736.0
2020,Professor,86250.0
2017,Assistant Professor,50448.0
2018,Assistant Professor,60928.0
2019,Associate Professor,158848.0
2020,Associate Professor,150906.0
2015,Professor,254348.0
2019,Professor,146320.0
2020,Professor,136859.0
2015,Associate Professor,27000.0
2016,Associate Professor,27000.0
2017,Associate Professor,27000.0
2018,Associate Professor,27000.0
2019,Associate Professor,18000.0
2020,Associate Professor,18000.0
2016,Associate Professor,35000.0
2017,Associate Professor,35000.0
2018,Associate Professor,35000.0
2019,Associate Professor,35000.0
2020,Associate Professor,35000.0
2015,Associate Professor,35000.0
2018,Professor,106593.0
2019,Professor,95075.0
2020,Professor,104758.0
2016,Assistant Professor,62659.57
2017,Assistant Professor,62660.0
2018,Assistant Professor,66885.0
2019,Associate Professor,58461.0
2020,Associate Professor,75629.0
2015,Assistant Professor,59691.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Associate Professor,30000.0
2015,Professor,184784.0
2016,Professor,186632.0
2017,Professor,189431.0
2018,Professor,193220.0
2019,Professor,200949.0
2020,Professor,190901.0
2015,Associate Professor,50000.0
2016,Associate Professor,50000.0
2017,Associate Professor,50000.0
2018,Associate Professor,50000.0
2019,Associate Professor,50000.0
2020,Associate Professor,48750.0
2015,Professor,111471.0
2016,Professor,115517.6
2017,Professor,115518.0
2018,Professor,121408.0
2019,Professor,124715.0
2020,Professor,124715.0
2015,Professor,113957.0
2016,Professor,113956.5
2017,Professor,113957.0
2018,Professor,113957.0
2019,Professor,113957.0
2020,Professor,108259.0
2016,Associate Professor,35000.0
2017,Associate Professor,35000.0
2018,Associate Professor,35000.0
2019,Associate Professor,35000.0
2020,Associate Professor,35000.0
2020,Professor,111077.0
2017,Assistant Professor,85000.0
2018,Assistant Professor,87749.0
2019,Associate Professor,98772.0
2020,Associate Professor,98772.0
2016,Assistant Professor,88972.0
2017,Assistant Professor,96090.0
2018,Assistant Professor,100885.0
2019,Assistant Professor,109954.0
2020,Assistant Professor,104456.0
2015,Assistant Professor,84743.0
2018,Associate Professor,22500.0
2019,Associate Professor,22500.0
2020,Associate Professor,24000.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,79826.0
2016,Associate Professor,95079.0
2017,Associate Professor,83135.0
2018,Associate Professor,88030.0
2019,Associate Professor,102784.0
2020,Associate Professor,90840.0
2019,Associate Professor,149000.0
2020,Associate Professor,141550.0
2015,Associate Professor,104862.0
2016,Associate Professor,107957.4
2017,Associate Professor,107957.0
2018,Associate Professor,114460.0
2019,Associate Professor,118035.0
